10 3     
149597870701 0 0 0 29800 0 5980000000000000000000000
778357721262.506 0 0 0 13100 0 1900000000000000000000000000
227987154951.372 0 0 0 24100 0 642000000000000000000000
58343169574.56 0 0 0 47900 0 330000000000000000000000
4496911993392.3 0 0 0 5400 0 102000000000000000000000000
5913603829008.18 0 0 0 4700 0 12900000000000000000000
1427014088674.07 0 0 0 9600 0 569000000000000000000000000
2869287160179.44 0 0 0 6800 0 86800000000000000000000000
104718509496.3 0 0 0 35000 0 4870000000000000000000000
0 0 0 0 0 0 1989100000000000000000000000000
