12 3 label
0.0 0.0 0.0 0.0 0.0 0.0 1.9891e+30 Sun
146717967565.58728 -29212343301.349762 0.0 5819.119112866405 29226.321231901096 0.0 5.98e+24 Earth
-141737567528.98758 765343846771.6844 0.0 -12877.631497874438 -2384.868150103385 298.34696508375396 1.9e+27 Jupiter
147878129611.8402 173522913839.92435 0.0 -18333.1490114991 15623.710585085148 778.019842721165 6.42e+23 Mars
38788072827.04515 43582230843.982796 0.0 -35514.11572656068 31607.471221958658 5841.690432872219 3.3e+23 Mercury
-2997004924094.1416 3352637608027.6304 0.0 -4024.0113211290754 -3597.162340229592 166.60127688286767 1.02e+26 Neptune
-2050284719047.1633 5546804740481.89 0.0 -4212.43534299812 -1557.0571198749124 1385.9875924795103 1.29e+22 Pluto
-572262123494.0645 1307243387848.1055 0.0 -8785.992453275763 -3846.1779535874966 416.2352223429017 5.69e+26 Saturn
791412235351.533 2757983952142.7163 0.0 -6535.62625871414 1875.418666889865 91.62003212866 8.68e+25 Uranus
24129594267.002003 101900582960.51572 0.0 -33998.42948988567 8050.673366845134 2072.0643237223385 4.87e+24 Venus
69062768322.07823 408029097624.9563 0.0 -17331.091779415474 2933.450538938322 3285.4299062801424 9.43e+20 Ceres
147073557743.0722 -29283143234.797813 0.0 6018.687560294239 30228.646745290458 0.0 7.3477e+22 Moon
